"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 22:13:33 EET 2020","Sun Jan 12 22:13:36 EET 2020","3349","","As a customer, I can click on the hamburger menu to open up the mobile navigation.","","[Venus] User can open hamburger menu by tapping appropriate CTA on header","","[Venus] User can open hamburger menu by tapping appropriate CTA on header","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Ham_Icn.feature:163"
"passed","Sun Jan 12 21:57:39 EET 2020","Sun Jan 12 21:57:47 EET 2020","8082","","As a customer, I can download mobile app","","[Venus] User can see Android and IOS app icons","","[Venus] User can see Android and IOS app icons","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Footer/FTR_Mob_App_Download.feature:36"
"passed","Sun Jan 12 22:43:41 EET 2020","Sun Jan 12 22:44:23 EET 2020","42561","","As a customer, I can create, view, sort, and rate product reviews.","","[Venus] User can see product reviews on PDP","","[Venus] User can see product reviews on PDP","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Prod_Rev.feature:69"
"passed","Sun Jan 12 22:52:13 EET 2020","Sun Jan 12 22:52:43 EET 2020","30605","","As a customer, I can view a ""Size Guide/Size Chart"" page","","[Venus] User can tap on ""Size Guide/Size Chart"" CTA and be navigated to ""Size Guide/Size Chart"" spreadsheet","","[Venus] User can tap on ""Size Guide/Size Chart"" CTA and be navigated to ""Size Guide/Size Chart"" spreadsheet","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_SizeGuide.feature:54"
"passed","Sun Jan 12 22:59:21 EET 2020","Sun Jan 12 23:00:32 EET 2020","71652","","As a customer, I can navigate through the total product results through pagination links","","[Venus] User see additional list of unique items after tapping pagination link. Items are different then in previous list","","[Venus] User see additional list of unique items after tapping pagination link. Items are different then in previous list","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PLP Product Listing Page/PLP_Pagination.feature:110"
"passed","Sun Jan 12 22:45:29 EET 2020","Sun Jan 12 22:46:16 EET 2020","47073","","As a customer, I should be able to view ""Recently Viewed"" section of a product","","[Venus] User can see ""Recently viewed"" carousel with products recently viewed","","[Venus] User can see ""Recently viewed"" carousel with products recently viewed","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_RecentlyViewed.feature:104"
"passed","Sun Jan 12 22:09:50 EET 2020","Sun Jan 12 22:10:00 EET 2020","9896","","As a customer, I can submit a search query in the input field and be taken to a search results page.","","[Venus] Suggested results on search modal redirect to product list page","","[Venus] Suggested results on search modal redirect to product list page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Srch_Input.feature:150"
"passed","Sun Jan 12 22:02:07 EET 2020","Sun Jan 12 22:02:46 EET 2020","39133","","As a customer, I can click on the account icon on header to see account navigation links","","[Venus] Signed in user can click on the account icon and navigate to Wish list form modal with account navigation links","","[Venus] Signed in user can click on the account icon and navigate to Wish list form modal with account navigation links","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Acct_Nav.feature:88"
"passed","Sun Jan 12 22:23:24 EET 2020","Sun Jan 12 22:24:13 EET 2020","49311","","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","","[Venus] User navigates to Dresses PLP and add random product to back to check stability of PWA","","[Venus] User navigates to Dresses PLP and add random product to back to check stability of PWA","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ATB.feature:217"
"passed","Sun Jan 12 22:12:59 EET 2020","Sun Jan 12 22:13:33 EET 2020","33716","","As a customer, I need to see my current page location based on the navigation hierarchy so I can quickly go back to the previous page sections using breadcrumbs.","","[Venus] User can quickly go back to the previous page sections using breadcrumbs","","[Venus] User can quickly go back to the previous page sections using breadcrumbs","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Breadcrumbs.feature:39"
